Ticker,Name,Market Cap,Price,Sector,Market,Volume
FFIOX,FormulaFolios US Equity Fund Investor Class,70360814,9.77,FinancialServices,NASDAQ,0
PLHHX,"Principal Funds, Inc. - Principal Lifetime Hybrid 2065 Fund",70359519,17.05,FinancialServices,NASDAQ,0
DYFN,Angel Oak Dynamic Financial Strategies Income Term Trust,70354233,17.35,FinancialServices,NYSE,7032
PGZ,Principal Real Estate Income Fund,70321626,10.505,FinancialServices,NYSE,71048
EMBK,"Embark Technology, Inc.",70197696,2.88,Technology,NASDAQ,129695
SIPIX,SEI Institutional Managed Trust Mid-Cap Portfolio Fund Class I,70122606,31.05,FinancialServices,NASDAQ,0
SEMCX,SEI Institutional Managed Trust Mid-Cap Portfolio Fund Class F,70122566,31.13,FinancialServices,NASDAQ,0
SFDYX,SEI Institutional Managed Trust Mid-Cap Fund,70122547,31.14,FinancialServices,NASDAQ,0
ZYNE,"Zynerba Pharmaceuticals, Inc.",70121220,1.3,Healthcare,NASDAQ,861742
SOS,SOS Limited,7006731,2.44,Technology,NYSE,72467
DXLG,"Destination XL Group, Inc.",69959500,1.3,ConsumerCyclical,NASDAQ,628622
MVPA,Advisor Managed Portfolios Mill,69795976,33.3899,FinancialServices,AMEX,5320
NTIC,Northern Technologies International Corporation,69731290,7.36,BasicMaterials,NASDAQ,16675
JPT,Nuveen Preferred and Income Fund,69695009,15.87,FinancialServices,NYSE,9162
ICOP,iShares Copper and Metals Mining ETF,69666464,30.3349,FinancialServices,NASDAQ,9945
NRGU,"MicroSectors U.S. Big Oil 3× Leveraged ETNs due February 17, 2045",69644005,16.46,FinancialServices,AMEX,41785
GMHS,Gamehaus Holdings Inc.,69640191,1.3,Technology,NASDAQ,33342
ICCH,"ICC Holdings, Inc.",69594763,23.49,FinancialServices,NASDAQ,32742
DLCEX,Dana Large Cap Equity Fund,69571981,23.7877,FinancialServices,NASDAQ,0
JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares,69570928,8.44,FinancialServices,AMEX,6449571
FSI,"Flexible Solutions International, Inc.",69561250,5.5,BasicMaterials,AMEX,5570
ELD,WisdomTree Emerging Markets Local Debt Fund,69546793,28.1153,FinancialServices,AMEX,12699
FEUS,FlexShares ESG & Climate US Large Cap Core Index Fund,69545204,69.0711,FinancialServices,AMEX,1824
MLPQ,UBS ETRACS 2xMonthly Leveraged Alerian MLP Infrastructure Index ETN SeriesB,69537682,3.7,FinancialServices,AMEX,398970
GNTA,Genenta Science S.p.A.,69501491,3.8,Healthcare,NASDAQ,885
SIBAX,Sit Balanced Fund,69440951,37.46,FinancialServices,NASDAQ,0
MFOIX,BNY Mellon Focused Equity Opportunities Fund Investor Shares,69412445,14.44,FinancialServices,NASDAQ,0
MFOMX,BNY Mellon Focused Equity Opportunities Fund,69412438,14.75,FinancialServices,NASDAQ,0
TDSD,Cabana Target Drawdown 13 ETF,69362263,22.43,FinancialServices,NASDAQ,11769
ASRT,"Assertio Holdings, Inc.",69354805,0.7241,Healthcare,NASDAQ,163196
JGRW,Jensen Quality Growth ETF,69342743,26.525,FinancialServices,AMEX,17236
ARDEX,AMG River Road Dividend All Cap Value Fund - Class N,69313508,6.11,FinancialServices,NASDAQ,0
EEA,"The European Equity Fund, Inc.",69213169,10.33,FinancialServices,NYSE,22548
SHNY,MicroSectors Gold 3X Leveraged ETN,69197160,74.14,FinancialServices,AMEX,86224
GILCX,Guggenheim Large Cap Value Fund Class Institutional,69142792,44.99,FinancialServices,NASDAQ,0
AP,Ampco-Pittsburgh Corporation,69125424,3.44,Industrials,NYSE,29945
RBIL,F/m Ultrashort Treasury Inflation-Protected Security (TIPS) ETF,69099037,50.14,,NASDAQ,2293
BRID,Bridgford Foods Corporation,68983908,7.6,ConsumerDefensive,NASDAQ,1284
TUGN,STF Tactical Growth & Income ETF,68902316,24.9484,FinancialServices,NASDAQ,10573
CPTA,Capitala Finance Corp.,68861178,25.4,FinancialServices,NASDAQ,19991
FFFZ,Fuxing China Group Limited,68821896,4.0,ConsumerCyclical,NASDAQ,0
ARFFX,Ariel Focus Investor,68742723,17.59,FinancialServices,NASDAQ,0
RECT,Rectitude Holdings Ltd Ordinary Shares,68730000,4.74,Industrials,NASDAQ,1523
GAMC,Golden Arrow Merger Corp.,68628960,9.0,FinancialServices,NASDAQ,73973
AFJK,"Aimei Health Technology Co., Ltd",68563410,11.2,FinancialServices,NASDAQ,12
RSPC,Invesco S&P 500 Equal Weight Communication Services ETF,68552002,37.47,FinancialServices,AMEX,25005
AVEAX,Ave Maria Focused Fund,68499205,16.98,FinancialServices,NASDAQ,0
TQMVX,T. Rowe Price Integrated US LCV Eq,68267230,18.05,FinancialServices,NASDAQ,0
CDLX,"Cardlytics, Inc.",68253120,1.3,CommunicationServices,NASDAQ,4860860
WWWEX,Kinetics The Global Fund,68089872,17.26,FinancialServices,NASDAQ,0
ELTK,Eltek Ltd.,68080366,10.14,Technology,NASDAQ,8610
GRDI,GRIID Infrastructure Inc. Common Stock,68069746,0.9601,FinancialServices,NASDAQ,106234
HCHL,Happy City Holdings Limited Class A Ordinary shares,68069154,3.31,ConsumerCyclical,NASDAQ,13630
FEAM,5E Advanced Materials Inc.,68060336,3.4,BasicMaterials,NASDAQ,11455
KDLY,"Kindly MD, Inc.",68050272,11.3,Healthcare,NASDAQ,12092
FNMTX,Nuveen Flagship New Mexico Muni Bd Fd Cl A,68006454,9.33,,NASDAQ,0
PYR,PyroGenesis Canada Inc.,0,0.3799,Industrials,NASDAQ,24183
KARS,KraneShares Electric Vehicles and Future Mobility Index ETF,67950502,24.5752,FinancialServices,AMEX,8187
SURI,Simplify Propel Opportunities ETF,67947266,15.445,FinancialServices,AMEX,242
MINV,Matthews Asia Innovators Active ETF,67838430,33.05,FinancialServices,AMEX,16896
MSTI,Madison ETFs Trust,67815209,20.6495,FinancialServices,AMEX,247
LCR,Leuthold Core ETF,67758578,36.23,FinancialServices,AMEX,1291
BGSF,"BGSF, Inc.",67733916,6.07,Industrials,NYSE,73892
GORO,Gold Resource Corporation,67720135,0.4963,BasicMaterials,AMEX,1651408
XAIX,Xtrackers Artificial Intelligence and Big Data ETF,67681585,38.6537,FinancialServices,NASDAQ,29418
EXEYX,"Manning & Napier Fd, Inc. Equity Series Class S",67659650,15.13,,NASDAQ,0
AZAJ,AllianzIM U.S. Large Cap Buffer10 Jan ETF,67651625,25.4892,FinancialServices,AMEX,4325
BUFOX,Buffalo Early Stage Growth Fund,67646215,16.25,FinancialServices,NASDAQ,0
MKOR,Matthews Korea Active ETF,67615918,27.94,FinancialServices,AMEX,26122
STRO,"Sutro Biopharma, Inc.",67569120,0.8,Healthcare,NASDAQ,185157
SPXE,ProShares S&P 500 ex-Energy ETF,67552687,68.365,FinancialServices,AMEX,559
AFAR,Aura FAT Projects Acquisition Corp,67530256,11.68,FinancialServices,NASDAQ,0
QARP,Xtrackers Russell 1000 US Quality at a Reasonable Price ETF,67522646,54.35,FinancialServices,AMEX,5321
PAB,PGIM Active Aggregate Bond ETF,67453824,42.42,FinancialServices,AMEX,7305
AZAO,AllianzIM U.S. Large Cap Buffer10 Oct ETF,67418761,28.1297,FinancialServices,AMEX,5305
MAXN,"Maxeon Solar Technologies, Ltd.",67417833,3.99,Energy,NASDAQ,83418
STMDX,Sterling Capital Real Estate Fund Institutional Class,67370082,35.25,RealEstate,NASDAQ,0
LGST,Semper Paratus Acquisition Corporation,67359105,4.51,FinancialServices,NASDAQ,12320
CEV,Eaton Vance California Municipal Income Trust,67346529,9.575,FinancialServices,NYSE,54997
NOTV,"Inotiv, Inc.",67331880,1.96,Healthcare,NASDAQ,999901
NDP,"Tortoise Energy Independence Fund, Inc.",67298474,40.395,FinancialServices,NYSE,9311
ATPC,Agape ATP Corporation,67257263,1.345,ConsumerDefensive,NASDAQ,25605
MNOV,"MediciNova, Inc.",67193294,1.37,Healthcare,NASDAQ,15756
MJUS,ETFMG U.S. Alternative Harvest ETF,67178860,0.7595,FinancialServices,AMEX,39046
FKU,First Trust United Kingdom AlphaDEX Fund,67099258,46.9241,FinancialServices,NASDAQ,57442
ELWS,"Earlyworks Co., Ltd",13418437,4.45,Technology,NASDAQ,224117
SBIT,Proshares Ultrashort Bitcoin ETF,67091642,28.51,FinancialServices,AMEX,1121656
EVONX,Altegris Futures Evolution Strategy Fd Cl N,67074008,7.0935,FinancialServices,NASDAQ,0
INKM,SPDR SSgA Income Allocation ETF,67065059,32.63,FinancialServices,AMEX,1612
QLTI,GMO International Quality ETF,67058916,24.91,FinancialServices,AMEX,7846
MIGPX,"Morgan Stanley Institutional Fund, Inc. Global Insight Portfolio Class A",67042422,19.67,FinancialServices,NASDAQ,0
GIAX,Nicholas Global Equity and Income ETF,67041475,17.86,,AMEX,37769
MIGIX,"Morgan Stanley Institutional Fund, Inc. Global Insight Portfolio Class I",67033368,20.77,FinancialServices,NASDAQ,0
AFSC,abrdn Focused U.S. Small Cap Active ETF,67015199,28.0999,FinancialServices,NASDAQ,2603
IBGA,iShares iBonds Dec 2044 Term Treasury ETF,67014295,24.6808,FinancialServices,NASDAQ,31326
MSPTX,Morgan Stanley Institutional Fund. Inc. Global Insight Portfolio,66990993,16.89,FinancialServices,NASDAQ,0
SPRX,Spear Alpha ETF,66987849,34.67,FinancialServices,NASDAQ,76193
BTOC,Armlogi Holding Corp. common stock,66958121,1.59,Industrials,NASDAQ,8634
FGM,First Trust Germany AlphaDEX Fund,66861347,57.2108,FinancialServices,NASDAQ,57851
MAGG,Madison Aggregate Bond ETF,66827890,20.415,FinancialServices,AMEX,295
AIFD,TCW Artificial Intelligence ETF,66765332,32.3679,FinancialServices,NASDAQ,9816
DSY,Big Tree Cloud Holdings Limited,66761408,1.1696,ConsumerDefensive,NASDAQ,15589
SSIC,Silver Spike Investment Corp.,66717596,10.735,Healthcare,NASDAQ,5816
CANC,Tema Oncology ETF,66709628,25.3431,FinancialServices,NASDAQ,6930
ZTEN,F/M 10-Year Investment Grade Corporate Bond ETF,66665746,50.7738,,NASDAQ,1412
IMMX,"Immix Biopharma, Inc.",66626730,2.39,Healthcare,NASDAQ,366447
AMZZ,GraniteShares 2x Long AMZN Daily ETF,66606313,31.25,,NASDAQ,331023
VEGA,AdvisorShares STAR Global Buy-Write ETF,66590259,46.66,FinancialServices,AMEX,2172
REIFX,Third Avenue International Real Estate Value Fund Institutional Class,66515381,14.25,RealEstate,NASDAQ,0
VHAQ,Viveon Health Acquisition Corp.,66486600,10.0,FinancialServices,AMEX,1
VNRX,VolitionRx Limited,66454896,0.6391,Healthcare,AMEX,199690
MCSMX,Matthews China Small Companies Fund,66446984,10.87,,NASDAQ,0
CCTS,Cactus Acquisition Corp. 1 Limited,66430048,13.09,FinancialServices,NASDAQ,22410
IFIN,InFinT Acquisition Corporation,66418536,6.28,FinancialServices,NYSE,53876
JASCX,James Small Cap Fund Class A (The),66380885,40.53,FinancialServices,NASDAQ,0
TBNK,Territorial Bancorp Inc.,66370191,8.33,FinancialServices,NASDAQ,39901
YSXT,"YSX Tech. Co., Ltd",66328125,2.83,Industrials,NASDAQ,180276
FIAC,Focus Impact Acquisition Corp.,66312110,8.88,FinancialServices,NASDAQ,835
PYXS,"Pyxis Oncology, Inc.",66284003,1.07,Healthcare,NASDAQ,138308
IHTA,Invesco High Income 2024 Target Term Fund,66249381,7.54,FinancialServices,NYSE,26612
AGBA,AGBA Acquisition Limited,66243100,1.4,FinancialServices,NASDAQ,4139318
TSMY,YieldMax TSM Option Income Strategy ETF,66193414,15.7,FinancialServices,AMEX,408353
HOUR,"Hour Loop, Inc.",66101157,1.88,ConsumerCyclical,NASDAQ,62729
MGOV,First Trust Intermediate Government Opportunities ETF,66049934,20.235,FinancialServices,AMEX,2833
FAM,First Trust/Abrdn Global Opportunity Income Fund,66032232,6.51,FinancialServices,NYSE,67604
RESP,WisdomTree U.S. ESG Fund,66027060,50.792,FinancialServices,AMEX,18661
EXT,WisdomTree U.S. ESG Fund,91760119,28.8271,FinancialServices,AMEX,49770
LUNG,Pulmonx Corporation,66009492,1.62,Healthcare,NASDAQ,1098919
YYAI,Connexa Sports Technologies Inc.,65970390,4.53,ConsumerCyclical,NASDAQ,229944
RIBB,Ribbon Acquisition Corp,65929300,10.19,FinancialServices,NASDAQ,1006
FSAVX,Fidelity Select Automotive Portfolio,65868681,59.02,,NASDAQ,0
TELA,"TELA Bio, Inc.",65859075,1.665,Healthcare,NASDAQ,56839
CAMSX,Cambiar Small Cap Inv,65829226,16.52,FinancialServices,NASDAQ,0
TDSB,Cabana Target Drawdown 7 ETF,65688880,22.5609,FinancialServices,NASDAQ,9537
NMS,Nuveen Minnesota Quality Municipal Income Fund,65683131,11.35,FinancialServices,NYSE,3335
BDSX,"Biodesix, Inc.",65513661,0.447,Healthcare,NASDAQ,3443782
TEBRX,Teberg Fund,65484432,26.0,FinancialServices,NASDAQ,0
OPAL,OPAL Fuels Inc.,65476494,2.26,Utilities,NASDAQ,164676
SEGPX,Guggenheim Large Cap Value Fund,65474304,42.56,FinancialServices,NASDAQ,0
BATT,Amplify Lithium & Battery Technology ETF,65220603,10.235,FinancialServices,AMEX,23865
PRLD,Prelude Therapeutics Incorporated,47292985,0.857,Healthcare,NASDAQ,160322
ASPA,"Abri SPAC I, Inc.",65196722,27.05,FinancialServices,NASDAQ,2018295
RPTX,Repare Therapeutics Inc.,65194928,1.52,Healthcare,NASDAQ,103541
IZEA,"IZEA Worldwide, Inc.",65165485,3.85,CommunicationServices,NASDAQ,53019
CVGI,"Commercial Vehicle Group, Inc.",65164880,1.76,ConsumerCyclical,NASDAQ,116236
SEPW,AllianzIM US Large Cap Buffer20 Sep ETF,65119806,30.61,FinancialServices,AMEX,3992
MVO,MV Oil Trust,65090000,5.66,Energy,NYSE,20383
SURF,"Surface Oncology, Inc.",65082215,1.07,Healthcare,NASDAQ,1462284
FHLT,Future Health ESG Corp.,65063492,10.96,FinancialServices,NASDAQ,1395
VSME,VS Media Holdings Limited Class A Ordinary Shares,65056780,1.3202,CommunicationServices,NASDAQ,54948
MARW,Allianzim US Large Cap Buffer20 Mar Etf,85640541,32.8919,FinancialServices,AMEX,4394
IRD,"Opus Genetics, Inc.",65030708,1.09,Healthcare,NASDAQ,72141
WESCX,TETON Westwood SmallCap Equity Fund,65002626,21.87,FinancialServices,NASDAQ,0
TRROX,T. Rowe Price Target Retirement 2010 Fund,64971607,11.66,FinancialServices,NASDAQ,0
QIS,Simplify Multi-Qis Alternative ETF,64958524,20.3999,FinancialServices,AMEX,1748
CAIE,Calamos ETF Trust,64938809,26.08,FinancialServices,AMEX,186689
RSF,"RiverNorth Capital and Income Fund, Inc.",64936074,14.7,FinancialServices,NYSE,10910
ICAP,InfraCap Equity Income Fund ETF,64917848,26.62,FinancialServices,AMEX,2927
ENCP,Energem Corp.,64907360,12.25,FinancialServices,NASDAQ,15865
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,64892113,38.3634,FinancialServices,NASDAQ,1356
LABD,Direxion Daily S&P Biotech Bear 3X Shares,64882385,6.76,FinancialServices,AMEX,13198493
SBND,Columbia Short Duration Bond ETF,64878313,18.83,FinancialServices,AMEX,7181
DYTA,SGI Dynamic Tactical ETF,64875242,28.2221,FinancialServices,NASDAQ,4396
SPFPX,American Beacon Sound Point Floating Rate Income - Investor Class,64742725,7.35,FinancialServices,NASDAQ,0
CCGWW,Cheche Group Inc. Warrant,64741566,0.02,Technology,NASDAQ,99563
UDIV,Franklin U.S. Core Dividend Tilt Index ETF,64734752,49.57,FinancialServices,AMEX,7945
INQQ,India Internet & Ecommerce ETF,64620562,15.8,FinancialServices,AMEX,14633
BCLO,iShares BBB-B CLO Active ETF,64612673,49.705,FinancialServices,NASDAQ,763
FHLKX,Fidelity Health Savings Fund Class K,64517197,10.79,FinancialServices,NASDAQ,0
OBEGX,Oberweis Global Opportunities Fund Investor Class,64513687,33.62,FinancialServices,NASDAQ,0
JAMFX,Jacob Internet Fund Investor Class Shares,64466176,6.8,FinancialServices,NASDAQ,0
FHLSX,Fidelity Health Savings Fund,64457291,10.79,FinancialServices,NASDAQ,0
JPGE,JPMorgan Diversified Return Global Equity ETF,64454612,55.589,FinancialServices,AMEX,17652
AKYA,"Akoya Biosciences, Inc.",64440918,1.29,Healthcare,NASDAQ,715252
TRGRX,T.Rowe Price Global Real Estate Fund,64409270,17.2,RealEstate,NASDAQ,0
JUNW,AIM ETF Products Trust - AllianzIM U.S. Large Cap Buffer20 Jun ETF,64407297,32.19,FinancialServices,AMEX,6473
MYO,"Myomo, Inc.",64402231,1.79,Healthcare,NYSE,419070
PMVC,PMV Consumer Acquisition Corp.,64344168,438.796,FinancialServices,NYSE,1939
ARTV,"Artiva Biotherapeutics, Inc.",64318584,2.64,Healthcare,NASDAQ,56966
TWWDX,Thomas White International Fund Investor Class,64288340,11.7991,FinancialServices,NASDAQ,0
OAKU,Oak Woods Acquisition Corporation,64242484,11.9899,FinancialServices,NASDAQ,40
PETS,"PetMed Express, Inc.",64241715,3.11,Healthcare,NASDAQ,149973
CPSM,Calamos S&P 500 Structured Alt Protection ETF - May,64234643,27.99,FinancialServices,AMEX,5211
WPRT,Westport Fuel Systems Inc.,64200622,3.7053,ConsumerCyclical,NASDAQ,12879
JPMO,YieldMax JPM Option Income Strategy ETF,64164185,16.55,FinancialServices,AMEX,27547
VPN,Global X Data Center REITs & Digital Infrastructure ETF,64158631,15.55,FinancialServices,NASDAQ,25435
LINK,"Interlink Electronics, Inc.",64100596,6.4983,Technology,NASDAQ,7119
OTPIX,ProFunds NASDAQ-100 Fund Investor Class,64081214,49.23,FinancialServices,NASDAQ,0
CPBI,"Central Plains Bancshares, Inc. Common Stock",64020346,15.16,FinancialServices,NASDAQ,90
JIGB,JPMorgan Corporate Bond Research Enhanced ETF,63995161,46.4366,FinancialServices,AMEX,612
LSF,"Laird Superfood, Inc.",63841592,6.04,ConsumerDefensive,AMEX,151944
PXJ,Invesco Dynamic Oil & Gas Services ETF,63801000,25.02,FinancialServices,AMEX,3415
LOAN,"Manhattan Bridge Capital, Inc.",63792486,5.5769,RealEstate,NASDAQ,6567
FLMX,Franklin FTSE Mexico ETF,63761993,30.23,FinancialServices,AMEX,10580
MITA,Coliseum Acquisition Corp.,63732136,11.51,FinancialServices,NASDAQ,17557
GOCO,"GoHealth, Inc.",63689523,5.73,FinancialServices,NASDAQ,101311
STG,Sunlands Technology Group,127322595,9.42,ConsumerDefensive,NYSE,9385
