Ticker,MarketCap,Price,Volume,Exchange,Sector,CompanyName,ScorePotential,ReasonsTags,Comments,Status,ChangeNotes,Date
GLV,70983484,5.72,47984,NYSE,FinancialServices,Clough Global Dividend and Income Fund,60,MC_50-150;PriceBand5-10;VolAdequate,NYSE | PriceBand 5–10 | MC 71M,New,,2025-08-08
FGHNX,70800922,8.81,0,NASDAQ,FinancialServices,Fidelity Global High Income Fd,75,MC_50-150;Nasdaq;PriceBand5-10;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 71M,New,,2025-08-08
CWCFX,70618398,11.8,0,NASDAQ,,Christopher Weil & Co Core Investment,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 71M,New,,2025-08-08
NVAWW,70574318,5.02,1308,NASDAQ,BasicMaterials,Nova Minerals Limited,75,MC_50-150;Nasdaq;PriceBand5-10;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 71M,New,,2025-08-08
BOCN,70565776,10.715,0,NASDAQ,FinancialServices,Blue Ocean Acquisition Corp.,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 71M,New,,2025-08-08
INDL,70396938,55.79,30720,AMEX,FinancialServices,Direxion Daily MSCI India Bull 2X Shares,60,MC_50-150;VolAdequate;DataComplete;NotOTC,AMEX | MC 70M,New,,2025-08-08
FNTAX,70377514,9.43,0,NASDAQ,FinancialServices,Nuveen Nebraska Municipal Bond Fund Class A,65,MC_50-150;Nasdaq;PriceBand5-10,NASDAQ | PriceBand 5–10 | MC 70M,New,,2025-08-08
FFIOX,70360814,9.77,0,NASDAQ,FinancialServices,FormulaFolios US Equity Fund Investor Class,65,MC_50-150;Nasdaq;PriceBand5-10,NASDAQ | PriceBand 5–10 | MC 70M,New,,2025-08-08
NTIC,69731290,7.36,16675,NASDAQ,BasicMaterials,Northern Technologies International Corporation,85,MC_50-150;Nasdaq;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 70M,New,,2025-08-08
NRGU,69644005,16.46,41785,AMEX,FinancialServices,"MicroSectors U.S. Big Oil 3× Leveraged ETNs due February 17, 2045",60,MC_50-150;VolAdequate;DataComplete;NotOTC,AMEX | MC 70M,New,,2025-08-08
ICCH,69594763,23.49,32742,NASDAQ,FinancialServices,"ICC Holdings, Inc.",75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 70M,New,,2025-08-08
JDST,69570928,8.44,6449571,AMEX,FinancialServices,Direxion Daily Junior Gold Miners Index Bear 2X Shares,70,MC_50-150;PriceBand5-10;VolAdequate;DataComplete;NotOTC,AMEX | PriceBand 5–10 | MC 70M,New,,2025-08-08
FSI,69561250,5.5,5570,AMEX,BasicMaterials,"Flexible Solutions International, Inc.",60,MC_50-150;PriceBand5-10;DataComplete;NotOTC,AMEX | PriceBand 5–10 | MC 70M,New,,2025-08-08
TDSD,69362263,22.43,11769,NASDAQ,FinancialServices,Cabana Target Drawdown 13 ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 69M,New,,2025-08-08
ARDEX,69313508,6.11,0,NASDAQ,FinancialServices,AMG River Road Dividend All Cap Value Fund - Class N,65,MC_50-150;Nasdaq;PriceBand5-10,NASDAQ | PriceBand 5–10 | MC 69M,New,,2025-08-08
BRID,68983908,7.6,1284,NASDAQ,ConsumerDefensive,Bridgford Foods Corporation,75,MC_50-150;Nasdaq;PriceBand5-10;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 69M,New,,2025-08-08
TUGN,68902316,24.9484,10573,NASDAQ,FinancialServices,STF Tactical Growth & Income ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 69M,New,,2025-08-08
CPTA,68861178,25.4,19991,NASDAQ,FinancialServices,Capitala Finance Corp.,75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 69M,New,,2025-08-08
ARFFX,68742723,17.59,0,NASDAQ,FinancialServices,Ariel Focus Investor,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 69M,New,,2025-08-08
GAMC,68628960,9.0,73973,NASDAQ,FinancialServices,Golden Arrow Merger Corp.,85,MC_50-150;Nasdaq;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 69M,New,,2025-08-08
AFJK,68563410,11.2,12,NASDAQ,FinancialServices,"Aimei Health Technology Co., Ltd",65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 69M,New,,2025-08-08
TQMVX,68267230,18.05,0,NASDAQ,FinancialServices,T. Rowe Price Integrated US LCV Eq,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 68M,New,,2025-08-08
ELTK,68080366,10.14,8610,NASDAQ,Technology,Eltek Ltd.,80,MC_50-150;Nasdaq;PrioritySector;DataComplete;NotOTC,NASDAQ | SectorPriority | MC 68M,New,,2025-08-08
KDLY,68050272,11.3,12092,NASDAQ,Healthcare,"Kindly MD, Inc.",90,MC_50-150;Nasdaq;PrioritySector;VolAdequate;DataComplete;NotOTC,NASDAQ | SectorPriority | MC 68M,New,,2025-08-08
FNMTX,68006454,9.33,0,NASDAQ,,Nuveen Flagship New Mexico Muni Bd Fd Cl A,75,MC_50-150;Nasdaq;PriceBand5-10;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 68M,New,,2025-08-08
BGSF,67733916,6.07,73892,NYSE,Industrials,"BGSF, Inc.",70,MC_50-150;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NYSE | PriceBand 5–10 | MC 68M,New,,2025-08-08
XAIX,67681585,38.6537,29418,NASDAQ,FinancialServices,Xtrackers Artificial Intelligence and Big Data ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 68M,New,,2025-08-08
EXEYX,67659650,15.13,0,NASDAQ,,"Manning & Napier Fd, Inc. Equity Series Class S",65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 68M,New,,2025-08-08
AFAR,67530256,11.68,0,NASDAQ,FinancialServices,Aura FAT Projects Acquisition Corp,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 68M,New,,2025-08-08
CEV,67346529,9.575,54997,NYSE,FinancialServices,Eaton Vance California Municipal Income Trust,60,MC_50-150;PriceBand5-10;VolAdequate,NYSE | PriceBand 5–10 | MC 67M,New,,2025-08-08
FKU,67099258,46.9241,57442,NASDAQ,FinancialServices,First Trust United Kingdom AlphaDEX Fund,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 67M,New,,2025-08-08
EVONX,67074008,7.0935,0,NASDAQ,FinancialServices,Altegris Futures Evolution Strategy Fd Cl N,75,MC_50-150;Nasdaq;PriceBand5-10;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 67M,New,,2025-08-08
IBGA,67014295,24.6808,31326,NASDAQ,FinancialServices,iShares iBonds Dec 2044 Term Treasury ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 67M,New,,2025-08-08
SPRX,66987849,34.67,76193,NASDAQ,FinancialServices,Spear Alpha ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 67M,New,,2025-08-08
FGM,66861347,57.2108,57851,NASDAQ,FinancialServices,First Trust Germany AlphaDEX Fund,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 67M,New,,2025-08-08
SSIC,66717596,10.735,5816,NASDAQ,Healthcare,Silver Spike Investment Corp.,80,MC_50-150;Nasdaq;PrioritySector;DataComplete;NotOTC,NASDAQ | SectorPriority | MC 67M,New,,2025-08-08
AMZZ,66606313,31.25,331023,NASDAQ,,GraniteShares 2x Long AMZN Daily ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 67M,New,,2025-08-08
VHAQ,66486600,10.0,1,AMEX,FinancialServices,Viveon Health Acquisition Corp.,60,MC_50-150;PriceBand5-10;DataComplete;NotOTC,AMEX | PriceBand 5–10 | MC 66M,New,,2025-08-08
CCTS,66430048,13.09,22410,NASDAQ,FinancialServices,Cactus Acquisition Corp. 1 Limited,75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 66M,New,,2025-08-08
IFIN,66418536,6.28,53876,NYSE,FinancialServices,InFinT Acquisition Corporation,70,MC_50-150;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NYSE | PriceBand 5–10 | MC 66M,New,,2025-08-08
TBNK,66370191,8.33,39901,NASDAQ,FinancialServices,Territorial Bancorp Inc.,85,MC_50-150;Nasdaq;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 66M,New,,2025-08-08
FIAC,66312110,8.88,835,NASDAQ,FinancialServices,Focus Impact Acquisition Corp.,75,MC_50-150;Nasdaq;PriceBand5-10;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 66M,New,,2025-08-08
IHTA,66249381,7.54,26612,NYSE,FinancialServices,Invesco High Income 2024 Target Term Fund,60,MC_50-150;PriceBand5-10;VolAdequate,NYSE | PriceBand 5–10 | MC 66M,New,,2025-08-08
FAM,66032232,6.51,67604,NYSE,FinancialServices,First Trust/Abrdn Global Opportunity Income Fund,60,MC_50-150;PriceBand5-10;VolAdequate,NYSE | PriceBand 5–10 | MC 66M,New,,2025-08-08
RIBB,65929300,10.19,1006,NASDAQ,FinancialServices,Ribbon Acquisition Corp,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 66M,New,,2025-08-08
FSAVX,65868681,59.02,0,NASDAQ,,Fidelity Select Automotive Portfolio,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 66M,New,,2025-08-08
CAMSX,65829226,16.52,0,NASDAQ,FinancialServices,Cambiar Small Cap Inv,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 66M,New,,2025-08-08
ASPA,65196722,27.05,2018295,NASDAQ,FinancialServices,"Abri SPAC I, Inc.",75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 65M,New,,2025-08-08
MVO,65090000,5.66,20383,NYSE,Energy,MV Oil Trust,60,MC_50-150;PriceBand5-10;VolAdequate,NYSE | PriceBand 5–10 | MC 65M,New,,2025-08-08
FHLT,65063492,10.96,1395,NASDAQ,FinancialServices,Future Health ESG Corp.,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 65M,New,,2025-08-08
ENCP,64907360,12.25,15865,NASDAQ,FinancialServices,Energem Corp.,75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 65M,New,,2025-08-08
LABD,64882385,6.76,13198493,AMEX,FinancialServices,Direxion Daily S&P Biotech Bear 3X Shares,70,MC_50-150;PriceBand5-10;VolAdequate;DataComplete;NotOTC,AMEX | PriceBand 5–10 | MC 65M,New,,2025-08-08
SPFPX,64742725,7.35,0,NASDAQ,FinancialServices,American Beacon Sound Point Floating Rate Income - Investor Class,75,MC_50-150;Nasdaq;PriceBand5-10;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 65M,New,,2025-08-08
JAMFX,64466176,6.8,0,NASDAQ,FinancialServices,Jacob Internet Fund Investor Class Shares,65,MC_50-150;Nasdaq;PriceBand5-10,NASDAQ | PriceBand 5–10 | MC 64M,New,,2025-08-08
OAKU,64242484,11.9899,40,NASDAQ,FinancialServices,Oak Woods Acquisition Corporation,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 64M,New,,2025-08-08
VPN,64158631,15.55,25435,NASDAQ,FinancialServices,Global X Data Center REITs & Digital Infrastructure ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 64M,New,,2025-08-08
LINK,64100596,6.4983,7119,NASDAQ,Technology,"Interlink Electronics, Inc.",90,MC_50-150;Nasdaq;PrioritySector;PriceBand5-10;DataComplete;NotOTC,NASDAQ | SectorPriority | PriceBand 5–10 | MC 64M,New,,2025-08-08
CPBI,64020346,15.16,90,NASDAQ,FinancialServices,"Central Plains Bancshares, Inc. Common Stock",65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 64M,New,,2025-08-08
LSF,63841592,6.04,151944,AMEX,ConsumerDefensive,"Laird Superfood, Inc.",70,MC_50-150;PriceBand5-10;VolAdequate;DataComplete;NotOTC,AMEX | PriceBand 5–10 | MC 64M,New,,2025-08-08
LOAN,63792486,5.5769,6567,NASDAQ,RealEstate,"Manhattan Bridge Capital, Inc.",75,MC_50-150;Nasdaq;PriceBand5-10;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 64M,New,,2025-08-08
MITA,63732136,11.51,17557,NASDAQ,FinancialServices,Coliseum Acquisition Corp.,75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 64M,New,,2025-08-08
GOCO,63689523,5.73,101311,NASDAQ,FinancialServices,"GoHealth, Inc.",85,MC_50-150;Nasdaq;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 64M,New,,2025-08-08
STG,127322595,9.42,9385,NYSE,ConsumerDefensive,Sunlands Technology Group,60,MC_50-150;PriceBand5-10;DataComplete;NotOTC,NYSE | PriceBand 5–10 | MC 127M,New,,2025-08-08
WTLTX,63525589,8.86,0,NASDAQ,FinancialServices,Segall Bryant & Hamill Quality High Yield Fund Retail Class,65,MC_50-150;Nasdaq;PriceBand5-10,NASDAQ | PriceBand 5–10 | MC 64M,New,,2025-08-08
BOTJ,63334160,13.94,8062,NASDAQ,FinancialServices,"Bank of the James Financial Group, Inc.",65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 63M,New,,2025-08-08
ABLOX,63322605,23.71,0,NASDAQ,,Alger Balanced Portfolio Class I-2,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 63M,New,,2025-08-08
NSTS,63236303,12.05,1771,NASDAQ,FinancialServices,"NSTS Bancorp, Inc.",65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 63M,New,,2025-08-08
HAIA,62877119,10.86,13358,NASDAQ,FinancialServices,Healthcare AI Acquisition Corp.,75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 63M,New,,2025-08-08
HIBL,62671501,46.86,104809,AMEX,FinancialServices,Direxion Daily S&P 500 High Beta Bull 3X Shares,60,MC_50-150;VolAdequate;DataComplete;NotOTC,AMEX | MC 63M,New,,2025-08-08
GBBK,62643605,11.5,238,NASDAQ,FinancialServices,Global Blockchain Acquisition Corp.,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 63M,New,,2025-08-08
ASCB,62529496,11.19,2332,NASDAQ,FinancialServices,A SPAC II Acquisition Corporation,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 63M,New,,2025-08-08
RAM,62431986,10.6,1017,NASDAQ,FinancialServices,Aries I Acquisition Corporation,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 62M,New,,2025-08-08
SMHX,62303229,34.65,66398,NASDAQ,FinancialServices,VanEck Fabless Semiconductor ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 62M,New,,2025-08-08
CHEA,62219845,5.5,39010,NASDAQ,FinancialServices,Chenghe Acquisition Co.,85,MC_50-150;Nasdaq;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 62M,New,,2025-08-08
JAQC,62155705,10.34,578,NASDAQ,FinancialServices,Jupiter Acquisition Corporation,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 62M,New,,2025-08-08
HOOG,62051236,75.03,475232,NASDAQ,FinancialServices,Leverage Shares 2X Long HOOD Daily ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 62M,New,,2025-08-08
ITAQ,61992210,10.95,158359,NASDAQ,FinancialServices,"Industrial Tech Acquisitions II, Inc.",75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 62M,New,,2025-08-08
INAQ,61931260,9.5,11621,NYSE,FinancialServices,Insight Acquisition Corp.,70,MC_50-150;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NYSE | PriceBand 5–10 | MC 62M,New,,2025-08-08
EMCG,61924329,13.7,6898,NASDAQ,FinancialServices,Embrace Change Acquisition Corp.,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 62M,New,,2025-08-08
YLCO,61676000,18.14,114122,NASDAQ,,Global X YieldCo & Renewable Energy Income ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 62M,New,,2025-08-08
ROSE,61659701,11.66,3413,NASDAQ,FinancialServices,Rose Hill Acquisition Corporation,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 62M,New,,2025-08-08
CXH,61629437,7.5165,14005,NYSE,FinancialServices,MFS Investment Grade Municipal Trust,60,MC_50-150;PriceBand5-10;VolAdequate,NYSE | PriceBand 5–10 | MC 62M,New,,2025-08-08
RKLX,61279731,79.97,224657,NASDAQ,FinancialServices,Defiance Daily Target 2X Long RKLB ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 61M,New,,2025-08-08
JMM,60937534,6.44,24157,NYSE,FinancialServices,Nuveen Multi-Market Income Fund,60,MC_50-150;PriceBand5-10;VolAdequate,NYSE | PriceBand 5–10 | MC 61M,New,,2025-08-08
RPHM,60840416,18.2,437523,NASDAQ,Healthcare,"Reneo Pharmaceuticals, Inc.",90,MC_50-150;Nasdaq;PrioritySector;VolAdequate;DataComplete;NotOTC,NASDAQ | SectorPriority | MC 61M,New,,2025-08-08
XFIN,60836068,9.24,22963,NASDAQ,FinancialServices,ExcelFin Acquisition Corp.,85,MC_50-150;Nasdaq;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 61M,New,,2025-08-08
PGSS,60750000,6.0,63976,NYSE,FinancialServices,Pegasus Digital Mobility Acquisition Corp.,70,MC_50-150;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NYSE | PriceBand 5–10 | MC 61M,New,,2025-08-08
PMGM,97482658,11.05,24807,NASDAQ,FinancialServices,Priveterra Acquisition Corp.,75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 97M,New,,2025-08-08
EVAIX,60636574,6.97,0,NASDAQ,FinancialServices,Eaton Vance VA Municipal Income I,75,MC_50-150;Nasdaq;PriceBand5-10;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 61M,New,,2025-08-08
MBTC,60531957,11.66,141136,NASDAQ,FinancialServices,Nocturne Acquisition Corporation,75,MC_50-150;Nasdaq;VolAdequate;DataComplete;NotOTC,NASDAQ | MC 61M,New,,2025-08-08
BAYA,60509602,11.12,163,NASDAQ,FinancialServices,Bayview Acquisition Corp Class A Ordinary Shares,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 61M,New,,2025-08-08
BMTX,60442500,5.0,128528,AMEX,Technology,"BM Technologies, Inc.",85,MC_50-150;PrioritySector;PriceBand5-10;VolAdequate;DataComplete;NotOTC,AMEX | SectorPriority | PriceBand 5–10 | MC 60M,New,,2025-08-08
GEGGL,60354216,23.838,1885,NASDAQ,FinancialServices,"Great Elm Group, Inc. 7.25% Notes due 2027",65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 60M,New,,2025-08-08
TFSCX,60239044,17.67,0,NASDAQ,,Templeton Institutional Foreign Smaller Companies Series Advisor,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 60M,New,,2025-08-08
SETM,60129247,20.1823,157294,NASDAQ,FinancialServices,Sprott Energy Transition Materials ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 60M,New,,2025-08-08
BOGSX,60116442,7.93,0,NASDAQ,FinancialServices,Black Oak Emerging Technology Fund,65,MC_50-150;Nasdaq;PriceBand5-10,NASDAQ | PriceBand 5–10 | MC 60M,New,,2025-08-08
NEUE,60083825,6.73,4910,NYSE,Healthcare,"NeueHealth, Inc.",75,MC_50-150;PrioritySector;PriceBand5-10;DataComplete;NotOTC,NYSE | SectorPriority | PriceBand 5–10 | MC 60M,New,,2025-08-08
SELF,59980136,5.29,14831,NASDAQ,RealEstate,"Global Self Storage, Inc.",85,MC_50-150;Nasdaq;PriceBand5-10;VolAdequate;DataComplete;NotOTC,NASDAQ | PriceBand 5–10 | MC 60M,New,,2025-08-08
LZSMX,59585068,10.51,0,NASDAQ,,Lazard International Small Cap Equity Portfolio Open Shares,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 60M,New,,2025-08-08
PDBA,59398715,34.9404,21069,NASDAQ,FinancialServices,Invesco Agriculture Commodity Strategy No K-1 ETF,65,MC_50-150;Nasdaq;VolAdequate,NASDAQ | MC 59M,New,,2025-08-08
SEPA,59368679,10.32,7010,NASDAQ,FinancialServices,SEP Acquisition Corp.,65,MC_50-150;Nasdaq;DataComplete;NotOTC,NASDAQ | MC 59M,New,,2025-08-08
